full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Aleksandar Mitrović,26,Premier League,2018/2019,Forward,Fulham,3282,Serbia,37,11,3
Alex Iwobi,24,Premier League,2018/2019,Forward,Arsenal,1972,Nigeria,35,3,6
Alex McCarthy,31,Premier League,2018/2019,Goalkeeper,Southampton,2250,England,25,0,0
Alex Oxlade-Chamberlain,27,Premier League,2018/2019,Midfielder,Liverpool,19,England,2,0,0
Alex Pritchard,27,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,England,30,2,0
Alex Smithies,31,Premier League,2018/2019,Goalkeeper,Cardiff City,0,England,0,0,0
Alexander Sørloth,25,Premier League,2018/2019,Forward,Crystal Palace,173,Norway,12,0,0
Alexandre Lacazette,29,Premier League,2018/2019,Forward,Arsenal,2503,France,35,13,8
Alexandre Nascimento Costa Silva,24,Premier League,2018/2019,Forward,West Ham United,17,Portugal,1,0,0
Alexis Sanchez,32,Premier League,2018/2019,Forward,Manchester United,877,Chile,20,1,3
Alfie Jones,23,Premier League,2018/2019,Defender,Southampton,0,England,0,0,0
Alfie Mawson,27,Premier League,2018/2019,Defender,Fulham,1131,England,15,0,0
Alfie Whiteman,22,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0,England,0,0,0
Ali Koiki,20,Premier League,2018/2019,Defender,Burnley,0,England,0,0,0
Alireza Jahanbakhsh,27,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,Iran,19,0,0
Alisson Becker,28,Premier League,2018/2019,Goalkeeper,Liverpool,3420,Brazil,38,0,0
Alvaro Morata,28,Premier League,2018/2019,Forward,Chelsea,943,Spain,16,5,0
Ander Herrera,31,Premier League,2018/2019,Midfielder,Manchester United,1404,Spain,22,2,3
André Filipe Tavares Gomes,27,Premier League,2018/2019,Midfielder,Everton,1986,Portugal,27,1,1
Andre Gray,29,Premier League,2018/2019,Forward,Watford,1358,England,29,7,2
André Schürrle,30,Premier League,2018/2019,Midfielder,Fulham,1650,Germany,24,6,0
André-Frank Zambo Anguissa,25,Premier League,2018/2019,Midfielder,Fulham,1518,Cameroon,22,0,0
Andreas Christensen,24,Premier League,2018/2019,Defender,Chelsea,615,Denmark,8,0,0
Andreas Pereira,25,Premier League,2018/2019,Midfielder,Manchester United,595,Brazil,15,1,1
Andrew Robertson,27,Premier League,2018/2019,Defender,Liverpool,3219,Scotland,36,0,11
Andrew Surman,34,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,England,18,0,0
Andriy Yarmolenko,31,Premier League,2018/2019,Forward,West Ham United,459,Ukraine,9,2,0
Andros Townsend,29,Premier League,2018/2019,Midfielder,Crystal Palace,3018,England,38,6,4
Andy Carroll,32,Premier League,2018/2019,Forward,West Ham United,454,England,12,0,0
Angel Gomes,20,Premier League,2018/2019,Midfielder,Manchester United,25,England,2,0,0
Angelo Ogbonna,32,Premier League,2018/2019,Defender,West Ham United,1870,Italy,24,1,1
Angus Gunn,25,Premier League,2018/2019,Goalkeeper,Southampton,1080,England,12,0,0
Anthony Driscoll-Glennon,21,Premier League,2018/2019,Defender,Burnley,0,England,0,0,0
Anthony Knockaert,29,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832,France,30,2,6
